Numero;Nimi;Pullokoko;Hinta;Litrahinta;Tyyppi;Luonnehdinta;Pakkaustyyppi;ProsAlkohol;EurPerLAlkohol
24007;Marani Akhasheni 11,5% 75cl;-;8,5;11,33;-;-;-;11,5;98,52173913
24009;Marani Kindzmarauli 11,5% 75cl;-;8,99;11,99;-;-;-;11,5;104,2608696
24006;Angostura 1919 8YO 40% 70cl;-;32,99;47,13;-;-;-;40;117,825
24008;Marani Mukuzani 14% 75cl;-;10,99;14,65;-;-;-;14;104,6428571
24025;Domaine du Chardonnay Chablis 12,5% 75cl;-;16,5;22;-;-;-;12,5;176
24039;Black Velvet 40% 100cl;-;20,5;20,5;-;-;-;40;51,25
24041;Bernard-Massard Rivaner 11,5% 75cl;-;8,99;11,99;-;-;-;11,5;104,2608696
24040;Freegold Rosado 12% 300cl BIB;-;14,5;4,83;-;-;-;12;40,25
24054;Happy Cat Gold Mosel Riesling 10% 50cl;-;8,5;17;-;-;-;10;170
24055;Westons Wyld Wood Still Organic 6% 300cl BIB;-;12,99;4,33;-;-;-;6;72,16666667
24048;Castillo Lagomar Tinto 10% 75cl;-;3,99;5,32;-;-;-;10;53,2
24078;Freegold Tinto 12% 300cl BIB;-;14,5;4,83;-;-;-;12;40,25
24079;Freegold Blanco 12% 300cl BIB;-;14,5;4,83;-;-;-;12;40,25
24093;Cinzano Rosso 15% 100cl;-;9,99;9,99;-;-;-;15;66,6
24094;Happy Cat Rose Mosel Riesling 10% 50cl;-;8,5;11,33;-;-;-;10;113,3
24096;Blue Nun Riesling 11% 75cl;-;6,99;9,32;-;-;-;11;84,72727273
24113;Courriere Napoleon VSOP 36% 50cl PET;-;10,99;21,98;-;-;-;36;61,05555556
24112;Veuve Clicquot Rose Champagne 12,5% 75cl;-;51,99;69,32;-;-;-;12,5;554,56
24117;Fernando De Castilla Solera Resreva 36% 70cl;-;20,5;27,33;-;-;-;36;75,91666667
24122;Eesti Standard Vodka 40% 50cl PET;-;8,5;17;-;-;-;40;42,5
24121;Cidre Bouche de Normandie 5% 75cl;-;3,99;5,32;-;-;-;5;106,4
24129;De Kuyper Sour Apple 15% 50cl;-;8,99;17,98;-;-;-;15;119,8666667
24134;Conde Pinel Tempranillo 12,5% 300cl BIB;-;13,99;4,66;-;-;-;12,5;37,28
24130;Maori Bay Sauvignon Blanc 12,5% 75cl;-;7,5;10;-;-;-;12,5;80
24139;Jacobs Creek Chardonnay Pinot Noir Brut Cuvee 11,5% 75cl;-;7,99;10,65;-;-;-;11,5;92,60869565
24143;Campo Viejo Cava Brut Reserva 11,5% 75cl;-;6,5;8,67;-;-;-;11,5;75,39130435
24161;Zenato Valpolicella Ripassa Superiore DOC 14% 75cl;-;16,99;22,65;-;-;-;14;161,7857143
24178;De Kuyper Grapefruit 15% 50cl;-;11,5;23;-;-;-;15;153,3333333
24180;Jims Creek Chardonnay 12,5% 300cl BIB;-;15,99;5,33;-;-;-;12,5;42,64
24181;Jims Creek Shiraz Cabernet Sauvignon 13,5% 300cl BIB;-;15,99;5,33;-;-;-;13,5;39,48148148
24186;De Kuyper Blue Curacao 24% 50cl;-;9,99;19,98;-;-;-;24;83,25
24194;De Kuyper Triple Sec 40% 50cl;-;13,99;27,98;-;-;-;40;69,95
24197;Underberg Mini 44% 2cl;-;1,75;87,5;-;-;-;44;198,8636364
24202;De Kuyper Pina Colada 14,5% 70cl;-;11,5;16,43;-;-;-;14,5;113,3103448
24213;Villa Maria Private Bin Pinot Noir 13,5% 75cl;-;11,5;15,33;-;-;-;13,5;113,5555556
24212;Villa Maria Private Bin Dry Riesling 12% 75cl;-;10,99;14,65;-;-;-;12;122,0833333
24211;Villa Maria Private Bin Sauvignon Blanc 13% 75cl;-;10,99;14,65;-;-;-;13;112,6923077
24201;Beefeater Gin 47% 50cl PET;-;12,99;25,98;-;-;-;47;55,27659574
24224;Dr.Loosen Riesling 8,5% 75cl;-;8,99;11,99;-;-;-;8,5;141,0588235
24223;Villa Wolf Riesling 11% 75cl;-;10,5;14;-;-;-;11;127,2727273
24225;Russky Standart Gold 40% 100cl;-;27,99;27,99;-;-;-;40;69,975
24231;Stones Original Green Ginger Wine 13,5% 70cl;-;6,5;9,29;-;-;-;13,5;68,81481481
24239;Glenmorangie 12YO Lasanta 46% 70cl;-;54,99;78,56;-;-;-;46;170,7826087
24235;Hereford White Wine 12,5% 75cl;-;3,99;5,32;-;-;-;12,5;42,56
24237;Torres San Valentin 11% 300cl BIB;-;16,99;5,66;-;-;-;11;51,45454545
24238;Tanqueray 47,3% 100cl;-;31,99;31,99;-;-;-;47,3;67,63213531
24229;Torres Sangre de Toro 13,5% 300cl BIB;-;18,99;6,33;-;-;-;13,5;46,88888889
24240;Castillo de Molina Reserva Cabernet Sauvignon 14% 75cl;-;11,5;15,33;-;-;-;14;109,5
24241;Castillo de Molina Reserva Pinot Noir 14% 75cl;-;9,99;13,32;-;-;-;14;95,14285714
24242;Castillo de Molina Reserva Chardonnay 14% 75cl;-;11,5;15,33;-;-;-;14;109,5
24248;Wolfberger Riesling vin d Alsace 12% 75cl;-;9,99;13,32;-;-;-;12;111
24252;Don Cruzado Silver 38% 70cl;-;17,99;25,7;-;-;-;38;67,63157895
24259;Monte Cristo Red 10% 75cl;-;3,5;4,67;-;-;-;10;46,7
24260;Monte Cristo White 10% 75cl;-;3,5;4,67;-;-;-;10;46,7
24262;Dom Dinis Reserva 13% 75cl;-;6,99;9,32;-;-;-;13;71,69230769
24264;Boscaini Valpolicella Classico Ca Bussin 12,5% 75cl;-;9,99;13,32;-;-;-;12,5;106,56
24263;Boscaini Valpolicella DOC Classico Superiore Ripasso La Preosa 13,5% 75cl;-;12,99;17,32;-;-;-;13,5;128,2962963
24280;Sovetskoje Rozovoje Semi Sweet 10% 75cl;-;3,5;4,67;-;-;-;10;46,7
24281;Don Luciano Brut 11% 75cl;-;4,5;6;-;-;-;11;54,54545455
24283;Zonin Valpolicella Ripasso Superiore 14% 75cl;-;10,99;14,65;-;-;-;14;104,6428571
24282;Don Luciano Semi-Seco 11% 75cl;-;4,5;6;-;-;-;11;54,54545455
24284;Sheridans 15,5% 70cl;-;23,99;34,27;-;-;-;15,5;221,0967742
24290;Raimat Abadia Cabernet Sauvignon Tempranillo  14% 75cl;-;7,99;10,65;-;-;-;14;76,07142857
24295;Vecchia Romagna 38% 70cl;-;18,99;27,13;-;-;-;38;71,39473684
24289;Pata Negra Gran Reserva 13% 75cl;-;6,99;9,32;-;-;-;13;71,69230769
24293;Beefeater 24  45% 70cl;-;25,5;36,43;-;-;-;45;80,95555556
24291;Raimat Solana Chardonnay Albarino 13% 75cl;-;7,99;10,65;-;-;-;13;81,92307692
24298;JÃ¤germeister 35% 175cl;-;36,99;21,14;-;-;-;35;60,4
24308;Robertson Pinotage 13,5% 75cl;-;5,5;7,33;-;-;-;13,5;54,2962963
24309;Faustino VII Tinto 13% 75cl;-;8,99;11,99;-;-;-;13;92,23076923
24316;Marques de Riscal Reserva 14% 150cl;-;32,99;21,99;-;-;-;14;157,0714286
24321;Larsen Viking Ship 40% 70cl;-;161,99;231,41;-;-;-;40;578,525
24329;Tullamore Dew 12YO 40% 70cl;-;32,99;47,13;-;-;-;40;117,825
24331;Sake Gekkeikan 14,6% 75cl;-;9,99;13,32;-;-;-;14,6;91,23287671
24328;Chimay Blue 9% 33cl;-;3,5;10,61;-;-;-;9;117,8888889
24332;Johannes Egberts Liebfraumilch 8,5% 300cl BIB;-;16,99;5,66;-;-;-;8,5;66,58823529
24336;Tullamore Dew 40% 70cl TIN TUBE;-;22,5;32,14;-;-;-;40;80,35
24330;Jura Single Malt 10YO 40% 70cl;-;45,5;65;-;-;-;40;162,5
24345;Antano Tempranillo Rioja 13% 75cl;-;5,99;7,99;-;-;-;13;61,46153846
24350;Saku Originaal 5,2% 24x33cl;-;17,99;2,27;-;-;-;5,2;43,65384615
24347;A.Le Coq Premium 5,2% 24x33cl;-;16,99;2,15;-;-;-;5,2;41,34615385
24348;A.Le Coq Premium 4,7% 50cl PURK;-;1,5;3;-;-;-;4,7;63,82978723
24362;Viru Valge 40% 50cl PET;-;10,5;21;-;-;-;40;52,5
24368;Sandeman Fino Sherry 15% 75cl;-;11,99;15,99;-;-;-;15;106,6
24373;Glenmorangie Nectar D Or 46% 70cl;-;64;91,43;-;-;-;46;198,7608696
24378;Golden Cap Perry 4,7% 24x33cl;-;19,99;2,52;-;-;-;4,7;53,61702128
24366;Moet & Chandon Rose Imperial Champagne 12% 75cl;-;49,99;66,65;-;-;-;12;555,4166667
24367;Veuve Clicquot Demi-Sec Champagne 12% 75cl;-;44,99;59,99;-;-;-;12;499,9166667
24396;Hendricks Gin 41,4% 70cl;-;31,5;45;-;-;-;41,4;108,6956522
24395;Angostura 1824 12YO 40% 70cl;-;59;84,29;-;-;-;40;210,725
24397;Grand Cavalier 38% 50cl;-;10,5;21;-;-;-;38;55,26315789
24399;Cafe de Paris Brut 11,5% 75cl;-;5,5;7,33;-;-;-;11,5;63,73913043
24398;Glenfiddich 15YO Single Malt 40% 70cl TUBE;-;41,99;59,99;-;-;-;40;149,975
24403;Couronne Brandy 36% 50cl PET;-;8,99;17,98;-;-;-;36;49,94444444
24404;Zelenaja Marka Traditsionnaja Retseptura 40% 100cl;-;21,99;21,99;-;-;-;40;54,975
24413;Marskin Ryyppy 40% 50cl;-;18,99;37,98;-;-;-;40;94,95
24411;Codorniu Cava Clasico Brut 11,5% 75cl;-;7,5;10;-;-;-;11,5;86,95652174
24425;Pere Magloire VSOP 40% 50cl;-;25,99;51,98;-;-;-;40;129,95
24426;Rosemount Estate Chardonnay Semillion 12,5% 75cl;-;7,99;10,65;-;-;-;12,5;85,2
24427;De Kuyper Wild Strawberry 23% 50cl;-;12,5;25;-;-;-;23;108,6956522
24431;Undurraga Aliwen Reserva Cabernet Sauvignon Syrah 14% 75cl;-;7,5;10;-;-;-;14;71,42857143
24435;Pere Magloire Fine VS Calvados 40% 100cl;-;36,99;36,99;-;-;-;40;92,475
24434;Frontera Late Harvest 12% 75cl;-;5,5;7,33;-;-;-;12;61,08333333
24433;Frontera Sauvignon Blanc 12,5% 75cl;-;5,5;7,33;-;-;-;12,5;58,64
24438;The Balvenie Doublewood 12YO 40% 70cl;-;59,99;85,7;-;-;-;40;214,25
24436;Glenmorangie 12YO Quinta Ruban 46% 70cl;-;62,99;89,99;-;-;-;46;195,6304348
24437;Branca Menta 28% 50cl;-;17,99;35,98;-;-;-;28;128,5
24442;De Kuyper Apricot Brandy 24% 50cl;-;12,99;25,98;-;-;-;24;108,25
24441;De Kuyper Creme De Bananes 24% 50cl;-;11,99;23,98;-;-;-;24;99,91666667
24450;Peter Lehmann Shiraz Barossa 14,5% 75cl;-;8,99;11,99;-;-;-;14,5;82,68965517
24448;Bacardi & Cola 7% 25cl TIN;-;1,6;6,4;-;-;-;7;91,42857143
24444;Taittinger Brut Reserve Champagne 12,5% 75cl;-;38,99;51,99;-;-;-;12,5;415,92
24451;Peter Lehmann Classic Riesling 11% 75cl;-;8,5;11,33;-;-;-;11;103
24456;Errazuriz Estate Series Sauvignon Blanc 13,5% 75cl;-;9,5;12,67;-;-;-;13,5;93,85185185
24459;Santa Carolina Chardonnay 13% 75cl;-;4,99;6,65;-;-;-;13;51,15384615
24464;Casillero del Diablo Sauvignon Blanc 12,5% 75cl;-;7,5;10;-;-;-;12,5;80
24463;Hartwall Original Long Drink Cranberry 5,5% 24x33cl;-;23,99;3,03;-;-;-;5,5;55,09090909
24460;Santa Carolina Cabernet Sauvignon 13% 75cl;-;4,99;6,65;-;-;-;13;51,15384615
24462;Senorio de los Llanos Crianza 12,5% 75cl;-;4,99;6,65;-;-;-;12,5;53,2
24461;Santa Carolina Merlot 12,5% 75cl;-;4,99;6,65;-;-;-;12,5;53,2
24465;Casillero del Diablo Pinot Noir 13,5% 75cl;-;7,5;10;-;-;-;13,5;74,07407407
24466;KWV Cabernet Sauvignon 13,5% 75cl;-;6,99;9,32;-;-;-;13,5;69,03703704
24468;De Kuyper Creme De Cassis 15% 50cl;-;11,99;23,98;-;-;-;15;159,8666667
24469;De Kuyper Parfait Amour 30% 50cl;-;13,99;27,98;-;-;-;30;93,26666667
24477;Yellow Tail Sauvignon Blanc 11,5% 75cl;-;7,5;10;-;-;-;11,5;86,95652174
24475;Guinness 4,2% 44cl TIN;-;1,8;3,6;-;-;-;4,2;85,71428571
24467;De Kuyper Cherry 24% 50cl;-;12,5;25;-;-;-;24;104,1666667
24476;De Kuyper Creme De Cafe 20% 50cl;-;11,99;23,98;-;-;-;20;119,9
24478;Yellow Tail Cabernet Sauvignon 13,5% 75cl;-;7,5;10;-;-;-;13,5;74,07407407
24481;Cafe de Paris Demi-Sec 11,5% 75cl;-;5,5;7,33;-;-;-;11,5;63,73913043
24501;Jaloviina 38% 100cl PET;-;19,99;19,99;-;-;-;38;52,60526316
24500;Koskenkorva Lakritsi 30% 50cl PET;-;9,99;19,98;-;-;-;30;66,6
24505;Masi Costasera Amarone Classico 15% 75cl;-;29,99;39,99;-;-;-;15;266,6
24519;Norton Barrel Select Malbec 13,5% 75cl;-;6,99;9,32;-;-;-;13,5;69,03703704
24520;Norton Barrel Select Cabernet Sauvignon 14% 75cl;-;7,5;10;-;-;-;14;71,42857143
24528;Saku Originaal 4,7% 50cl TIN;-;1,5;3;-;-;-;4,7;63,82978723
24523;Finlandia Grapefruit 37,5% 50cl;-;11,99;23,98;-;-;-;37,5;63,94666667
24526;J.P.Chenet Merlot 13% 75cl;-;5,5;7,33;-;-;-;13;56,38461538
24547;Quay Landing Colombard Chardonnay 12,5% 300cl BIB;-;16,99;5,66;-;-;-;12,5;45,28
24541;Lindemans Bin 95 Sauvignon Blanc 12% 75cl;-;7,99;10,65;-;-;-;12;88,75
24548;Piqueras Sauvignon-Verdejo 12,5% 300cl BIB;-;14,99;5;-;-;-;12,5;40
24544;Krombacher Pils 4,8% 50cl TIN;-;1,4;2,8;-;-;-;4,8;58,33333333
24551;Bernard-Massard Brut 12% 75cl;-;12,5;16,67;-;-;-;12;138,9166667
24549;Raimat Abadia Cabernet Sauvignon Tempranillo 14% 300cl BIB;-;19,99;6,66;-;-;-;14;47,57142857
24546;Quay Landing Shiraz 13% 300cl BIB;-;16,99;5,66;-;-;-;13;43,53846154
24561;Santa Helena Seleccion del Dieectorio Gran Reserva Chardonnay 14% 75cl;-;8,99;11,99;-;-;-;14;85,64285714
24565;Claude Chatelier VS 40% 50cl PET;-;17,99;35,98;-;-;-;40;89,95
24564;Claude Chatelier VSOP 40% 50cl PET;-;18,99;37,98;-;-;-;40;94,95
24567;Torres Santa Digna Reserva Cabernet Sauvignon Rose 13% 75cl;-;7,99;10,65;-;-;-;13;81,92307692
24569;Vergi Vodka 40% 20cl;-;3,99;19,95;-;-;-;40;49,875
24570;Vergi Vodka 40% 100cl;-;15,99;15,99;-;-;-;40;39,975
24579;J.P.Chenet Medium Sweet Red 12% 75cl;-;5,99;7,99;-;-;-;12;66,58333333
24584;Carmina Luna White Wine 12% 300cl BIB;-;14,5;4,83;-;-;-;12;40,25
24583;Carmina Luna Red Wine 14% 300cl BIB;-;13,5;4,5;-;-;-;14;32,14285714
24586;Ukrainka Vodka 40% 50cl;-;9,99;19,98;-;-;-;40;49,95
24588;Ukrainka Platinum 40% 50cl;-;10,5;21;-;-;-;40;52,5
24599;Castellblanc Cava Rosado Semi Seco 12% 75cl;-;6,5;8,67;-;-;-;12;72,25
24598;Leijona Pastilli Shot 30% 50cl PET;-;9,99;19,98;-;-;-;30;66,6
24606;Krombacher Pils 4,8% 500cl;-;18,5;3,7;-;-;-;4,8;77,08333333
24609;Gancia Asti DOCG 7,5% 75cl;-;8,5;11,33;-;-;-;7,5;151,0666667
24610;Pisang Ambon Guarana Lime 20% 50cl;-;11,99;23,98;-;-;-;20;119,9
24615;Crowmoor Dry Apple Cider 4,7% 24x33cl;-;21,99;2,78;-;-;-;4,7;59,14893617
24619;Dreamer Late Harvest Chardonnay 11,5% 300cl BIB;-;15,99;5,33;-;-;-;11,5;46,34782609
24625;Leijona Viina 32% 50cl PET;-;7,99;15,98;-;-;-;32;49,9375
24623;Torres Sangre de Toro White 11,5% 75cl;-;7,99;10,65;-;-;-;11,5;92,60869565
24637;Puls Ã•unasiider 4,5% 50cl TIN;-;0,99;1,98;-;-;-;4,5;44
24638;Saunalahden Viina 38% 10x50cl PET;-;92,5;18,5;-;-;-;38;48,68421053
24639;Saunalahden Viina 38% 50cl PET;-;9,99;19,98;-;-;-;38;52,57894737
24640;Suomi Viina 32% 10x50cl PET;-;87,99;17,6;-;-;-;32;55
24641;Suomi Viina 32% 50cl PET;-;8,99;17,98;-;-;-;32;56,1875
24643;Nederburg Winemasters Reserve Riesling 13,5% 75cl;-;8,99;11,99;-;-;-;13,5;88,81481481
24645;Peachtree 20% 70cl;-;14,99;21,41;-;-;-;20;107,05
24647;Mandarine Napoleon 38% 70cl;-;30,5;43,57;-;-;-;38;114,6578947
24650;Gibsons London Gin 37,5% 100cl;-;19,99;19,99;-;-;-;37,5;53,30666667
24651;Stony Cape Pinotage Cinsault 13% 75cl;-;4,99;6,65;-;-;-;13;51,15384615
24658;Sovetskoje Kristalnoje Semi Sweet 6% 75cl;-;2,5;3,33;-;-;-;6;55,5
24656;Ecusson Cidre Brut 5% 75cl;-;4,5;6;-;-;-;5;120
24657;Leijona Viina 32% 10x50cl;-;77,99;15,6;-;-;-;32;48,75
24665;Raimat Moli Cabernet Sauvignon 14% 75cl;-;10,99;14,65;-;-;-;14;104,6428571
24670;Riga Black Currant Balsam 30% 50cl PET;-;8,99;17,98;-;-;-;30;59,93333333
24674;Matusalem Clasico 10YO 40% 70cl;-;23,99;34,27;-;-;-;40;85,675
24672;Matusalem Solera 7YO 40% 70cl;-;20,99;29,99;-;-;-;40;74,975
24675;Matusalem Gran Reserva 15YO 40% 70cl;-;29,5;42,14;-;-;-;40;105,35
24673;Matusalem Platino 40% 70cl;-;20,5;29,29;-;-;-;40;73,225
24678;Santa Marta Limoncello 25% 50cl;-;12,99;25,98;-;-;-;25;103,92
24681;Westons Old Rosie 7,3% 50cl;-;3,4;6,8;-;-;-;7,3;93,15068493
24708;Johann Brunner Riesling Rheinhessen 10,5% 75cl;-;5,5;7,33;-;-;-;10,5;69,80952381
24711;Jameson 40% 2x100cl TWIN;-;46,99;46,99;-;-;-;40;117,475
24713;Bonacchi Chianti Classico DOCG 13% 75cl;-;8,99;11,99;-;-;-;13;92,23076923
24712;Senorio de los Llanos Gran Reserva 13% 75cl;-;5,99;7,99;-;-;-;13;61,46153846
24714;Casal Garcia Vinho Verde Branco 9,5% 75cl;-;7,99;10,65;-;-;-;9,5;112,1052632
24716;St. Elmo Colombard Chenin Blanc 12% 300cl BIB;-;15,99;5,33;-;-;-;12;44,41666667
24717;Magyar Feher Bor White 11,5% 300cl BIB;-;15,99;5,33;-;-;-;11,5;46,34782609
24719;Senorio  de los Llanos Reserva 13% 75cl;-;4,99;6,65;-;-;-;13;51,15384615
24723;Hunawihr Vin D Alsace Pinot Blanc 12,5% 75cl;-;8,99;11,99;-;-;-;12,5;95,92
24728;Saku Tume 6,7% 50cl;-;1,6;3,2;-;-;-;6,7;47,76119403
24727;Tenuta di Sesta Brunello di Montalcino Riserva DOCG 14% 75cl;-;44,99;59,99;-;-;-;14;428,5
24731;MINI Jacobs Creek Semillion Chardonnay 12,9% 18,7cl;-;6,5;34,76;-;-;-;12,9;269,4573643
24725;Tenuta di Sesta Brunello di Montalcino DOCG 14,5% 75cl;-;29,99;39,99;-;-;-;14,5;275,7931034
24732;MINI Jacobs Creek Shiraz Cabernet 13,9% 18,7cl;-;3,5;18,72;-;-;-;13,9;134,676259
24737;Old Gruzia Saperavi Red Dry 13% 75cl;-;5,99;7,99;-;-;-;13;61,46153846
24741;Riva Leone Barolo DOCG 14,5% 75cl;-;19,99;26,65;-;-;-;14,5;183,7931034
24745;Vergi Long Drink Grapefruit 5,6% 24x33cl;-;15,99;2,02;-;-;-;5,6;36,07142857
24752;Galliano Vanilla 30% 50cl;-;17,99;35,98;-;-;-;30;119,9333333
24754;Senorio de los Llanos Tempranillo 12,5% 75cl;-;3,99;5,32;-;-;-;12,5;42,56
24759;Meukow VSOP 40% 100cl;-;39,99;39,99;-;-;-;40;99,975
24767;Remedia Black Currant Liqueur 18% 50cl PET;-;4,99;9,98;-;-;-;18;55,44444444
24762;Meukow VSOP 40% 300cl;-;199,99;66,66;-;-;-;40;166,65
24763;Remedia Cranberry Liqueur 18% 50cl PET;-;4,99;9,98;-;-;-;18;55,44444444
24766;Remedia Wild Strawberry Liqueur 18% 50cl PET;-;4,99;9,98;-;-;-;18;55,44444444
24765;Remedia Coffe Liqueur 18% 50cl PET;-;4,99;9,98;-;-;-;18;55,44444444
24760;Meukow VS 40% 100cl;-;34,99;34,99;-;-;-;40;87,475
24769;Imperial XII VSOP 36% 50cl PET;-;9,5;19;-;-;-;36;52,77777778
24771;Anselmann Riesling Classic 12% 75cl;-;9,99;13,32;-;-;-;12;111
24764;Remedia Cherry Liqueur 18% 50cl PET;-;4,99;9,98;-;-;-;18;55,44444444
24772;Mannerheim Vodka 40% 50cl PET;-;9,99;19,98;-;-;-;40;49,95
24782;A.Le Coq G:N Cranberry 5,5% 24x33cl;-;14,5;1,83;-;-;-;5.touko;33.2727272727272
24780;Albert Bichot Chateau de Dracy Chardonnay 12,5% 75cl;-;16,5;22;-;-;-;12,5;176
24781;Albert Bichot Chablis Premier Cru Les Vaillons 13% 75cl;-;27,99;37,32;-;-;-;13;287,0769231
24788;Errazuriz Estate Series Cabernet Sauvignon 13,5% 75cl;-;9,5;12,67;-;-;-;13,5;93,85185185
24792;Metaxa 5* 38% 100cl;-;29,99;29,99;-;-;-;38;78,92105263
24793;Calvados Coquerel VSOP 40% 70cl;-;28,99;41,41;-;-;-;40;103,525
24790;Metaxa 5*  38% 300cl;-;124,99;41,66;-;-;-;38;109,6315789
24791;Calvados Coquerel Fine 40% 70cl;-;21,99;31,41;-;-;-;40;78,525
24794;Calvados Coquerel XO 40% 70cl;-;37,99;54,27;-;-;-;40;135,675
24801;Cono Sur Cabernet Sauvignon Carmenere Syrah Organic 12,5% 75cl;-;9,5;12,67;-;-;-;12,5;101,36
24800;Bonacchi Orvieto Classico DOC 12% 75cl;-;5,99;7,99;-;-;-;12;66,58333333
24804;Collavini Pinot Grigio 12,5% 75cl;-;9,99;13,32;-;-;-;12,5;106,56
24805;Collavini Chardonnay Sassi Cavi 12,5% 75cl;-;8,99;11,99;-;-;-;12,5;95,92
24807;Black Tower Dry Riesling 12% 300cl BIB;-;19,99;6,66;-;-;-;12;55,5
24809;Meukow XO 40% 70cl;-;69,99;99,99;-;-;-;40;249,975
24812;Nederburg Manor House Shiraz 14,5% 75cl;-;10,5;14;-;-;-;14,5;96,55172414
24817;Drostdy-Hof Steen Chenin Blanc 11,5% 75cl;-;6,5;8,67;-;-;-;11,5;75,39130435
24834;Torres 20 Hors d Age Brandy 40% 70cl;-;36,99;52,84;-;-;-;40;132,1
24831;Ballantines 17YO 43% 70cl;-;59;84,29;-;-;-;43;196,0232558
24835;Vina Maipo Sauvignon Blanc 11,5% 300cl BIB;-;15,99;5,33;-;-;-;11,5;46,34782609
24827;Yellow Tail Bubbles 11,5% 75cl;-;8,99;11,99;-;-;-;11,5;104,2608696
24845;Tommasi Crearo della Conca d Oro 13,5% 75cl;-;18,5;24,67;-;-;-;13,5;182,7407407
24855;Tommasi Poggio al Tufo Rompicollo 13% 75cl;-;9,99;13,32;-;-;-;13;102,4615385
24858;Schloss Marienlay Riesling Trocken 12% 75cl;-;15,99;21,32;-;-;-;12;177,6666667
24856;Livon Pinot Grigio 12,5% 75cl;-;15,99;21,32;-;-;-;12,5;170,56
